Person_ID,Study_ID,Authors,Year,Title,Source,Volume,Edition/Issue,doi,sysrev_url,included_excluded,reason_excluded,exclusion_notes,data_extracted,
Niamh,Silveira_2016,"Juliana M. Silveira, Julio Louzada, Jos Barlow, Rafael Andrade, Luiz Mestre, Ricardo Solar, Sebastien Lacau, and
Mark A. Cochrane",2016,"A Multi-Taxa Assessment of Biodiversity Change After Single and Recurrent Wildfires
in a Brazilian Amazon Forest",BIOTROPICA,48,2,10.1111/btp.12267,https://sysrev.com/u/10508/p/122445/article/92417048,Included,,,TRUE,
Niamh,Pyle_1996,WILLIAM H. PYLE AND JOHN A. CRAWFORD,1996,Availability of foods of sage grouse chicks following prescribed fire in sagebrush-bitterbrush,JOURNAL OF RANGE MANAGEMENT ,49,4,https://www.jstor.org/stable/i383955,https://sysrev.com/u/10508/p/122445/article/92417085,Included,,,TRUE,
Niamh,Beucke_2009,"Beucke, Kyle",2009,"Beetles (Coleoptera: Geotrupidae, Scarabaeidae, and
Silphidae) in Burned and Unburned Pine Barrens in
Long Island, New York",Entomologica Americana,115,2,https://doi.org/10.1664/07-SN-008.1,https://sysrev.com/u/10508/p/122445/article/92417046,Included,,,TRUE,
Niamh,Seastedt_1984,T. R. Seastedt,1984,Belowground Macroarthropods of Annually Burned and Unburned Tallgrass Prairie,The American Midland Naturalist,111,2,https://www.jstor.org/stable/2425336,https://sysrev.com/u/10508/p/122445/article/92417087,Included,,,TRUE,
Niamh,Collett_2000,N. G. Collett,2000,"Catastrophic wildfire and its short-term effects on
families of Order Coleoptera (beetles) in Eucalyptus
regnans forest in the Central Highlands of Victoria",Australian Forestry,63,1,10.1080/00049158.2000.10674808,https://sysrev.com/u/10508/p/122445/article/92417120,Included,,,TRUE,
Niamh,Rodrigo_2008,"Anselm Rodrigo, Francesc Sardà-Palomera, Jordi Bosch & Javier Retana",2008,"Changes of dominant ground beetles in black pine
forests with fire severity and successional age", Écoscience,15,4,https://doi.org/10.2980/15-4-3117,https://sysrev.com/u/10508/p/122445/article/92426516,Included,,,TRUE,
Niamh,Neumann_1995,"F. G. Neumann a
 , N. G. Collett & K. G. Tolhurst",1995,"Coleoptera in litter of dry sclerophyll eucalypt
forest and the effects of low-intensity prescribed
fire on their activity and composition in westcentral Victoria",Australian Forestry,58,3,10.1080/00049158.1995.10674650,https://sysrev.com/u/10508/p/122445/article/92417129,Included,,,TRUE,
Niamh,Carvalho_2020,"RAQUEL L. CARVALHO,
TOM WEIR, HERALDO L. VASCONCELOS AND
ALAN N. ANDERSEN",2020,"Dung beetles of an Australian tropical savanna: Species
composition, food preferences and responses to
experimental fire regimes",Austral Ecology,45,7,10.1111/aec.12910,https://sysrev.com/u/10508/p/122445/article/92417042,Included,,,TRUE,
Niamh,Sackmann_2006,"Sackmann, Paula, and Farji-Brener, Alejandro",2006,"Effect of fire on ground beetles and ant assemblages
along an environmental gradient in NW Patagonia: Does
habitat type matter?",Ecoscience,13,3,https://doi.org/10.2980/i1195-6860-13-3-360.1,https://sysrev.com/u/10508/p/122445/article/92417121,Included,,,TRUE,
Niamh,Polchaninova_2016,"Nina Polchaninova
, Mikhail Tsurikov & Andrey Atemasov",2016,"Effect of summer fire on cursorial 
spider (Aranei) and beetle (Coleoptera) 
assemblages in meadow steppes of 
Central European Russia",Hacquetia,15,2,10.1515/hacq-2016-0019,https://sysrev.com/u/10508/p/122445/article/92426451,Included,,,TRUE,
Niamh,Vieira_2008,"Let´?cia Vieira, Julio N. C. Louzada, Sacha Spector ",2008,"Effects of Degradation and Replacement of Southern Brazilian Coastal Sandy Vegetation
on the Dung Beetles (Coleoptera: Scarabaeidae)",BIOTROPICA,40,6,10.1111/j.1744-7429.2008.00432.x,https://sysrev.com/u/10508/p/122445/article/92417002,Included,,,TRUE,
Niamh,Campbell_2007,"J.W. Campbell, J.L. Hanulaa
, T.A. Waldrop",2007,"Effects of prescribed fire and fire surrogates on floral
visiting insects of the blue ridge province in North Carolina",BIOLOGICAL CONSERVATION,134,3,doi:10.1016/j.biocon.2006.08.029,https://sysrev.com/u/10508/p/122445/article/92426654,Included,,,TRUE,
Niamh,Davis_1998,"STEPHEN SETH DAVIS, B.S. ",1998,"EFFECTS OF PRESCRIBED FIRE ON SMALL MAMMALS 
AND BEETLE ASSEMBLAGES IN CONSERVATION 
RESERVE PROGRAM (CRP) GRASSLANDS",WILDLIFE SCIENCE,NA,NA,http://hdl.handle.net/2346/18640,https://sysrev.com/u/10508/p/122445/article/92423928,Included,,,TRUE,
Niamh,Collett_1995,"Nick G. Collett , Fred G. Neumann ",1995,"Effects of two spring prescribed fires on epigeal Coleoptera 
in dry sclerophyll eucalypt forest in Victoria, Australia ",Forest Ecology and Managemen,76,1->3,https://doi.org/10.1016/0378-1127(95)03560-W,https://sysrev.com/u/10508/p/122445/article/92417126,Included,,,TRUE,
Niamh,França_2018,"Filipe M. França| Joice Ferreira | Fernando Z. Vaz-de-Mello | 
Laís F. Maia | Erika Berenguer | Alessandro Ferraz Palmeira | 
Rodrigo Fadini | Júlio Louzada | Rodrigo Braga | Victor Hugo Oliveira | 
Jos Barlow",2018,"El Niño impacts on human-modified tropical forests: 
Consequences for dung beetle diversity and associated 
ecological processes",Biotropica,52,2, 10.1111/btp.12756 ,https://sysrev.com/u/10508/p/122445/article/92417096,Included,,,TRUE,
Niamh,Brown_2016,"Julian Brown
, Alan York and Fiona Christie",2016,Fire effects on pollination in a sexually deceptive orchid,International Journal of Wildland Fire,25,8,http://dx.doi.org/10.1071/WF15172,https://sysrev.com/u/10508/p/122445/article/92417044,Included,,,TRUE,
Niamh,Higgins_2014,"Higgins, J.W., Cobb, N.S., Sommer, S., Delph, R.J., Brantley, S.L.",2014,Ground-dwelling arthropod responses to succession in a pinyon-juniper woodland,ECOSPHERE,5,1, https://doi.org/10.1890/ES13-00270.1,https://sysrev.com/u/10508/p/122445/article/92417117,Included,,,TRUE,
Niamh,Kayna?_2017,Burçin Yenisey Kayna?,2017,"Long-term changes in surface-active beetle communities in a post-fire 
successional gradient in Pinus brutia forests",iForest-Biogeosciences and Forestry,10,2,10.3832/ifor2140-009,https://sysrev.com/u/10508/p/122445/article/92426457,Included,,,TRUE,
Niamh,Callaham_2003,"M.A. Callaham Jr., J.M. Blair
, T.C. Todd
, D.J. Kitchen
, M.R. While",2003,"Macroinvertebrates in North American tallgrass prairie soils: effects
of fire, mowing, and fertilization on density and biomass",Soil Biology & Biochemistry,35,8,10.1016/S0038-0717(03)00153-6,https://sysrev.com/u/10508/p/122445/article/92417007,Included,,,TRUE,
Niamh,Hosler_2021,"S H E R Y L C . H O S L E R, H O L L Y P . J O N E S,  MELISSA NELSON
and N I C H O L A S A . B A R B E R",2021,"Management actions shape dung beetle community
structure and functional traits in restored
tallgrass prairie",Ecological Entomology,46,2,10.1111/een.12950,https://sysrev.com/u/10508/p/122445/article/92417016,Included,,,TRUE,
Niamh,deAndrade_2011,"Rafael Barreto de Andrade, Jos Barlow
, Julio Louzada
, Fernando Zagury Vaz-de-Mello
, Mateus
Souza
, Juliana M. Silveira
, Mark A. Cochrane",2011,"Quantifying Responses of Dung Beetles to Fire
Disturbance in Tropical Forests: The Importance of
Trapping Method and Seasonality",PLoS ONE,6,10,10.1371/journal.pone.0026208,https://sysrev.com/u/10508/p/122445/article/92417056,Included,,,TRUE,
Niamh,Gonçalves_2022,"Gonçalves, T.F., Correa, C.M., Audino, L.D., Vaz?de?Mello, F.Z., Fontoura, F.M. and Guedes, N.M.",2022,"Quantifying the post-fire recovery of taxonomic and functional
diversity of dung beetles in the Brazilian Pantanal",Ecological Entomology,47,4, 10.1111/een.13144,https://sysrev.com/u/10508/p/122445/article/92417001,Included,,,TRUE,
Niamh,GarciaVillanueva_1998,"J.A. Garcia-Villanueva, V. Ena, R. Thrrega, and G. Mediavilla",1998,"Recolonization of Two Burnt Quercus pyrenaica 
Ecosystems by Coleoptera",International Journal of Wildland Fire,8,1,https://doi.org/10.1071/WF9980021,https://sysrev.com/u/10508/p/122445/article/92417127,Included,,,TRUE,
Niamh,Campbell_2018,"Campbell, J.W., Grodsky, S.M., Keller, O., Vigueira, C.C., Vigueira, P.A., Waite, E.S. and Greenberg, C.H.",2018,"Response of beetles (Coleoptera) to repeated applications of prescribed fire
and other fuel reduction techniques in the southern Appalachian Mountains",Forest Ecology and Management,429,NA,https://doi.org/10.1016/j.foreco.2018.07.022,https://sysrev.com/u/10508/p/122445/article/92417052,Included,,,TRUE,
Niamh,Bess_2002,"Bess, E.C., Parmenter, R.R., Mccoy, S. and Molles, M.C.",2002,"Responses of a Riparian Forest-Floor Arthropod Community to
Wildfire in the Middle Rio Grande Valley, New Mexico",COMMUNITY AND ECOSYSTEM ECOLOGY,31,5, https://doi.org/10.1603/0046-225X-31.5.774,https://sysrev.com/u/10508/p/122445/article/92417130,Included,,,TRUE,
Niamh,Greenberg_2010,"Greenberg, C.H., Forrest, T.G. and Waldrop, T.",2010,"Short-Term Response of Ground-Dwelling Arthropods to Prescribed
Fire and Mechanical Fuel Reduction in a Southern Appalachian Upland
Hardwood Forest",Forest Science,56,1,https://doi.org/10.1093/forestscience/56.1.112,https://sysrev.com/u/10508/p/122445/article/92417119,Included,,,TRUE,
Niamh,Polchaninova_2019,"Polchaninova, N., Savchenko, G., Ronkin, V., Drogvalenko, A. and Putchkov, A.",2019,"Summer fire in steppe habitats: long-term 
effects on vegetation and autumnal 
assemblages of cursorial arthropods",Hacquetia,18,2,10.2478/hacq-2019-0006,https://sysrev.com/u/10508/p/122445/article/92426606,Included,,,TRUE,
Niamh,Majzlan_2009,"Majzlan, O. and Fedor, P.J",2009,The phenology of geobiont beetles (Coleoptera) and other arthropods (arthropoda) in the Vysoké Tatry Mts,Folia oecologica,36,2,ISSN 1336-5266,https://sysrev.com/u/10508/p/122445/article/92417124,Included,,,TRUE,
Niamh,Butler_2021,"Butler, O.M., Lewis, T., Maunsell, S.C., Rezaei Rashti, M., Elser, J.J., Mackey, B. and Chen, C.",2021,"The stoichiometric signature of high-frequency fire in forest floor
food webs",Ecological Monographs,91,4,https://doi.org/10.1002/ecm.1477,https://sysrev.com/u/10508/p/122445/article/92417125,Included,,,TRUE,
Niamh,deAndrade_2014,"de Andrade, R.B., Barlow, J., Louzada, J., Vaz-de-Mello, F.Z., Silveira, J.M. and Cochrane, M.A.",2014,"Tropical forest fires and biodiversity: dung beetle community
and biomass responses in a northern Brazilian Amazon forest",Journal of Insect Conservation,18,NA,https://doi.org/10.1007/s10841-014-9719-4,https://sysrev.com/u/10508/p/122445/article/92417037,Included,,,TRUE,
Niamh,Palusci_2021,"Palusci, E., Mantoni, C., Strona, G. and Fattorini, S., 2021. Wildfire does not affect the dung beetle diversity of high-altitude Mediterranean habitats",2021,"Wildfire does not affect the dung beetle diversity of
high-altitude Mediterranean habitats",International Journal of Wildland Fire,30,8,https://doi.org/10.1071/WF20120,https://sysrev.com/u/10508/p/122445/article/92417031,Included,,,TRUE,
Niamh,Barlow_2012,"Barlow, J., Silveira, J.M., Mestre, L.A., Andrade, R.B., Camacho D'Andrea, G., Louzada, J., Vaz-de-Mello, F.Z., Numata, I., Lacau, S. and Cochrane, M.A.",2012,"Wildfires in Bamboo-Dominated Amazonian Forest:
Impacts on Above-Ground Biomass and Biodiversity",PLoS One,7,3,https://doi.org/10.1371/journal.pone.0033373,https://sysrev.com/u/10508/p/122445/article/92417059,Included,,,TRUE,
Niamh,Gill_1999,"Gill, A. M., Woinarski, John, York, Alan",1999,"Australia's biodiversity -responses to fire: plants, birds, and invertebrates",Environmemt Australia,1,NA,ISBN 0 642 21422 0,https://sysrev.com/u/10508/p/122445/article/92417123,Included,,,TRUE,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
